DASYLab 2016 - 2016,,,,,,,,,,,,,,,,,,,,,,,
Worksheet name: CLT oneway,,,,,,,,,,,,,,,,,,,,,,,
"Recording date     : 10/2/2020, 11:28:46 AM",0.025849,0.089978,4E-06,3.420515,3.827184,0.998699,0.36403,1.378631,1.144828,1.412109,1.357921,0.346829,0.216133,0.090803,0.532762,0.510192,0.519088,-0.000597,0.654989,0.55679,,,
Block length       : 4,,,,,,,,,,,,,,,,,,,,,,,
Delta              : 0.1 sec.,,,,,,,,,,,,,,,,,,,,,,,
Number of channels : 16,,,,,,,,,,,,,,,,,,,,,,,
Time,Load (kips),Act. Disp. (in),S. CL Disp (in),W. Quarter (in),E. Quarter (in(),Compression Strain (in),Tension Strain,West Slip 1,West Slip 2,West Slip 3,West Slip 4,East Slip 5,East Slip 6,East Slip 7,East Slip 8,West Vertical Separation (in),East Vertical Separation,N. CL Disp (in),W Support,E Support,,Avg CL Disp(in),Avg Support Disp (in)
28:48.0,0.03021,0.10107,0.00117,3.4214,3.8264,1.00003,0.36364,1.37806,1.14495,1.41172,1.35811,0.34739,0.21674,0.09102,0.53341,0.50995,0.51532,-0.00099,0.65457,0.55722,,,
28:48.0,0.0705,0.07306,-0.00128,3.42125,3.8264,0.99807,0.36443,1.37853,1.14456,1.41204,1.35778,0.34648,0.21576,0.09095,0.53272,0.51016,0.51514,-0.00114,0.65488,0.55667,,,
28:48.0,0.12756,0.08514,0.00074,3.42051,3.82698,0.99977,0.36397,1.37866,1.14515,1.41185,1.35746,0.34641,0.21622,0.09115,0.53322,0.51016,0.51508,-0.00142,0.65469,0.55664,,,
28:48.0,0.04028,0.1236,0.0016,3.42185,3.82698,0.99866,0.36384,1.37919,1.14456,1.4125,1.35856,0.34661,0.21609,0.09064,0.53291,0.50989,0.51514,-0.00156,0.65512,0.55716,,,
28:48.0,0.09399,0.09119,-0.00041,3.42081,3.82582,0.99775,0.36417,1.37872,1.14482,1.4125,1.35772,0.34661,0.21596,0.09057,0.53291,0.51007,0.51498,0.00128,0.65469,0.55676,,,
28:48.0,0.06042,0.09338,-0.00113,3.42022,3.82945,0.99755,0.36456,1.38024,1.14443,1.41211,1.35902,0.34661,0.21596,0.09076,0.5324,0.51031,0.51523,-0.00128,0.65491,0.55725,,,
28:48.0,-0.05707,0.1192,0.00045,3.42125,3.82902,0.99736,0.36364,1.37965,1.14482,1.41217,1.35889,0.34706,0.21629,0.09089,0.53139,0.51007,0.51523,-0.00043,0.65515,0.55725,,,
28:48.0,0.03693,0.10876,0.0016,3.42125,3.82524,0.99964,0.36384,1.37846,1.14482,1.41243,1.35791,0.34752,0.2157,0.0907,0.53341,0.51001,0.51465,-0.00014,0.65488,0.55695,,,
28:48.0,-0.03357,0.09283,-0.00041,3.4214,3.82625,0.99755,0.36364,1.37899,1.14515,1.41269,1.35804,0.34667,0.21661,0.09019,0.53202,0.51044,0.51471,-0.00071,0.65509,0.55643,,,
28:48.0,0.09399,0.09448,-0.00113,3.41904,3.82553,0.99846,0.36443,1.37905,1.14456,1.41211,1.35785,0.34641,0.21583,0.09076,0.53297,0.51016,0.51447,-0.00156,0.65472,0.55673,,,
28:48.0,-0.08057,0.09943,-0.00013,3.42214,3.82654,0.9999,0.36391,1.37886,1.14463,1.41237,1.35785,0.34687,0.21602,0.09057,0.53228,0.51001,0.51453,-0.00128,0.65512,0.55719,,,
28:48.0,0.09735,0.07306,0.00132,3.41978,3.82698,1.00003,0.36378,1.37813,1.14482,1.41159,1.35811,0.34719,0.21622,0.09051,0.53411,0.51001,0.51437,-0.00114,0.65491,0.55655,,,
28:49.0,-0.06042,0.07141,-0.00027,3.42155,3.82596,0.99905,0.36358,1.37886,1.14469,1.4125,1.35908,0.34641,0.21615,0.09095,0.53202,0.51007,0.51547,-0.00071,0.65488,0.55777,,,
28:49.0,0.03021,0.07361,-0.00041,3.42155,3.82771,0.99768,0.36371,1.37991,1.14495,1.4125,1.35863,0.34641,0.21596,0.09057,0.53209,0.51007,0.51447,-0.00071,0.65503,0.55698,,,
